date,ndvi,evi,red,nir,blue,mir
2009-08-05,0.3169,0.1687,0.1167,0.225,0.0427,0.2193
2009-08-28,0.2609,0.1385,0.1168,0.1993,0.0548,0.2657
2009-09-13,0.1794,0.0809,0.1219,0.1752,0.0348,0.276
2009-09-28,0.2785,0.1617,0.1308,0.2318,0.0608,0.2306
2009-10-01,0.1769,0.0993,0.1698,0.2428,0.0565,0.315
2009-10-31,0.6701,0.4491,0.0674,0.3413,0.0295,0.1442
2009-11-16,0.7259,0.7358,0.0861,0.5422,0.0679,0.1245
2009-12-02,0.9388,0.9227,0.0198,0.628,0.045,0.1292
2009-12-14,0.7379,0.6383,0.0693,0.4597,0.1409,0.1007
2009-12-25,0.9125,0.748,0.0219,0.4788,0.0111,0.08
2010-01-05,0.6576,0.672,0.1183,0.5729,0.2465,0.263
2010-01-18,0.3707,0.4547,0.1868,0.4069,0.1757,0.1892
2010-02-03,0.2685,0.1622,0.1494,0.2591,0.062,0.2978
2010-03-05,0.5466,0.3843,0.1022,0.3487,0.0478,0.1781
2010-03-17,0.7121,0.5757,0.0737,0.4384,0.0396,0.1678
2010-03-29,0.8159,0.6076,0.0452,0.446,0.0091,0.0684
2010-04-09,0.8796,0.73740000000000006,0.0306,0.478,0.0193,0.0754
2010-04-25,0.9009,0.8169,0.0283,0.5429,0.0184,0.062
2010-05-20,0.8231,0.6455,0.0414,0.4267,0.0244,0.0814
2010-05-27,0.7524,0.4739,0.0454,0.3214,0.0184,0.0805
2010-06-12,0.6657,0.4061,0.0591,0.2945,0.0267,0.1183
2010-06-28,0.49,0.301,0.0911,0.2662,0.0478,0.1538
2010-07-21,0.389,0.2342,0.1075,0.2444,0.0571,0.1692
2010-07-30,0.339,0.2106,0.1239,0.251,0.0648,0.1896
2010-08-22,0.2862,0.1853,0.1591,0.2867,0.0693,0.2756
2010-09-09,0.273,0.1873,0.1641,0.2874,0.0835,0.3027
2010-09-16,0.2788,0.1765,0.1399,0.2481,0.074,0.276
2010-10-09,0.2755,0.1686,0.1391,0.2449,0.0682,0.2755
2010-10-20,0.211,0.1157,0.1428,0.2192,0.0567,0.2105
2010-11-03,0.2755,0.1467,0.1308,0.2303,0.0427,0.2735
2010-11-24,0.86,0.581,0.0265,0.3523,0.0146,0.0845
2010-12-16,0.92,0.9011,0.026,0.6241,0.0161,0.1069
2010-12-25,0.9351,0.9139,0.0212,0.6328,0.0116,0.0943
2011-01-10,0.882,0.8581,0.0378,0.6031,0.0244,0.1223
2011-01-31,0.3246,0.1792,0.1146,0.2248,0.0501,0.2465
2011-02-14,0.2693,0.2263,0.185,0.3214,0.1362,0.221
2011-02-23,0.2653,0.1654,0.1221,0.2103,0.0764,0.1717
2011-03-18,0.3634,0.2891,0.1485,0.3181,0.0863,0.218
2011-03-26,0.6881,0.5454,0.0724,0.3919,0.0407,0.1707
2011-04-19,0.9062,0.6599,0.0197,0.4004,0.0102,0.0546
2011-05-05,0.9096,0.8403,0.0265,0.5599,0.0176,0.0588
2011-05-14,0.9063,0.8416,0.0286,0.5825,0.0145,0.065
2011-05-30,0.878,0.7637,0.0329,0.5068,0.0204,0.0589
2011-06-24,0.7817,0.5605,0.0466,0.3805,0.0228,0.0813
2011-06-29,0.7457,0.5012,0.048,0.3296,0.0284,0.1029
2011-07-15,0.5194,0.321,0.0833,0.2634,0.0481,0.1526
2011-08-02,0.4033,0.2544,0.1114,0.262,0.0601,0.1709
2011-08-18,0.3519,0.2277,0.1273,0.2656,0.0682,0.1958
2011-09-03,0.3623,0.2233,0.1276,0.2726,0.0554,0.2733
2011-09-19,0.3244,0.2097,0.1415,0.2774,0.0676,0.272
2011-10-04,0.3296,0.2657,0.1595,0.3164,0.0752,0.334
2011-10-27,0.2434,0.1737,0.1512,0.2485,0.1521,0.2697
2011-11-13,0.4236,0.3227,0.1263,0.312,0.0674,0.2237
2011-11-29,0.8641,0.6987,0.0337,0.4625,0.0174,0.1058
2011-12-03,0.8935,0.8458,0.0334,0.5941,0.0183,0.1347
2011-12-27,0.9041,0.8743,0.0252,0.5006,0.039,0.0672
2012-01-09,0.8229,0.8991,0.0687,0.7075,0.0858,0.1228
2012-01-28,0.5187,0.3247,0.0804,0.2537,0.0243,0.1249
2012-02-07,0.2889,0.2382,0.175,0.3172,0.0639,0.2641
2012-03-04,0.3884,0.2,0.0966,0.2193,0.0354,0.2113
2012-03-13,0.3159,0.2237,0.18,0.3463,0.0758,0.165
2012-03-22,0.8541,0.6418,0.0322,0.4094,0.0178,0.0609
2012-04-07,0.8614,0.6827,0.0335,0.45,0.0168,0.0536
2012-04-23,0.7968,0.5966,0.0461,0.4078,0.0225,0.0694
2012-05-09,0.8309,0.6055,0.0361,0.391,0.019,0.0607
2012-06-01,0.7016,0.3898,0.0469,0.2675,0.0179,0.0842
2012-06-10,0.528,0.2432,0.0602,0.1949,0.0229,0.127
2012-07-03,0.3303,0.1096,0.0589,0.117,0.0194,0.1637
2012-07-19,0.3243,0.1171,0.0675,0.1323,0.0206,0.1701
2012-08-04,0.322,0.1365,0.08,0.156,0.0326,0.1939
2012-08-20,0.2579,0.1838,0.2229,0.3779,0.081,0.3034
2012-09-05,0.2489,0.184,0.2055,0.3417,0.0966,0.2673
2012-09-14,0.2675,0.2052,0.2092,0.362,0.1008,0.3167
2012-10-06,0.3047,0.227,0.1476,0.277,0.0777,0.2942
2012-10-29,0.3206,0.2337,0.1398,0.2718,0.0722,0.2951
2012-11-01,0.276,0.2122,0.1608,0.2834,0.0726,0.3471
2012-11-30,0.1941,0.193,0.2661,0.3943,0.2402,0.1671
2012-12-07,0.5567,0.4362,0.1012,0.3554,0.0831,0.209
2012-12-24,0.8884,0.7403,0.0287,0.486,0.0152,0.0868
2013-01-09,0.9436,0.7865,0.0147,0.5075,0.0039,0.0715
2013-01-17,0.942,0.9185,0.0185,0.6205,0.0124,0.108
2013-02-15,0.5129,0.2975,0.0736,0.2286,0.0589,0.1131
2013-02-19,0.3488,0.1924,0.0922,0.191,0.0337,0.2226
2013-03-12,0.3518,0.1964,0.0932,0.1944,0.0439,0.1962
2013-04-01,0.8148,0.6866,0.0445,0.4363,0.0369,0.0766
2013-04-17,0.8964,0.6713,0.0226,0.4137,0.0124,0.0495
2013-05-08,0.8669,0.5752,0.0244,0.3425,0.0142,0.0599
2013-05-19,0.8378,0.5342,0.0285,0.3231,0.0154,0.0654
2013-05-26,0.8295,0.5434,0.0307,0.3296,0.0185,0.0646
2013-06-13,0.7172,0.4156,0.0457,0.2775,0.021,0.1003
2013-06-29,0.3458,0.122,0.0627,0.129,0.0196,0.1603
2013-07-15,0.3208,0.1163,0.0671,0.1305,0.0227,0.1745
2013-07-31,0.317,0.1309,0.0827,0.1595,0.0253,0.2039
